stock_code,data_points,date_start,date_end,length0,p1,p2,p3,in_sample_return_pct,out_of_sample_return_pct,full_return_pct
000002,2294,2015-07-21,2025-07-18,5,3,7,7,127.07,12.87,136.38
000004,2227,2015-07-21,2025-07-18,3,5,11,6,111.23,-80.73,36.16
000006,2312,2015-07-21,2025-07-18,3,10,5,9,-40.65,60.46,17.91
000007,1974,2015-11-23,2025-07-18,10,7,8,8,46.63,39.08,79.97
000008,2355,2015-07-21,2025-07-18,15,14,3,8,-12.1,-82.52,-93.94
000009,2409,2015-08-18,2025-07-18,3,6,14,15,335.41,5.45,202.94
000010,2421,2015-07-21,2025-07-18,7,14,12,15,-40.63,-3.05,-46.72
000011,2429,2015-07-21,2025-07-18,7,4,12,4,170.27,-17.85,154.55
000012,2429,2015-07-21,2025-07-18,9,11,8,10,120.22,-62.69,-4.91
000014,2429,2015-07-21,2025-07-18,3,11,14,13,31.27,54.43,83.48
000016,2356,2015-09-11,2025-07-18,7,3,8,9,108.4,4.04,111.95
000017,2395,2015-07-21,2025-07-18,4,3,12,4,53.12,20.31,61.76
000019,2272,2015-07-21,2025-07-18,5,7,9,7,65.46,2.48,64.23
000020,2342,2015-07-21,2025-07-18,7,12,9,3,-11.92,-10.6,-22.52
000021,2428,2015-07-21,2025-07-18,14,11,5,13,128.15,45.17,178.57
000025,2413,2015-07-21,2025-07-18,3,5,2,11,94.71,-23.4,64.47
000026,2429,2015-07-21,2025-07-18,3,2,12,15,78.04,83.54,156.38
000027,2429,2015-07-21,2025-07-18,12,8,15,7,-0.46,-43.88,-54.52
000028,2318,2015-07-21,2025-07-18,8,3,2,12,14.98,26.02,43.85
000029,1423,2015-07-21,2025-07-18,4,9,6,9,50.48,3.29,48.98
000030,2422,2015-07-21,2025-07-18,3,2,8,6,41.6,9.9,51.5
000031,2241,2015-07-21,2025-07-18,14,13,6,10,-41.85,6.89,-30.9
000032,2275,2015-07-21,2025-07-18,4,3,11,13,73.68,38.99,112.67
000034,2077,2015-08-28,2025-07-18,7,11,11,12,123.65,53.7,176.35
000035,2147,2015-07-21,2025-07-18,13,5,6,15,79.83,-9.86,37.41
000036,2429,2015-07-21,2025-07-18,3,5,7,13,77.8,32.95,89.12
000037,2309,2015-07-21,2025-07-18,3,7,5,13,162.83,-7.1,143.03
000039,2424,2015-07-21,2025-07-18,9,12,15,15,40.86,-31.1,2.35
000042,2286,2015-07-21,2025-07-18,13,8,14,8,-3.59,-5.3,-2.86
000045,2326,2015-07-21,2025-07-18,3,6,6,12,55.72,-18.14,42.43
000048,2256,2015-07-21,2025-07-18,3,3,10,13,25.18,41.99,65.37
000049,2423,2015-07-21,2025-07-18,9,10,12,13,107.71,7.05,106.53
000050,2299,2015-07-21,2025-07-18,5,7,11,8,13.87,-10.52,2.62
000055,2427,2015-07-21,2025-07-18,9,8,5,15,108.64,-31.1,72.67
000056,2320,2015-07-21,2025-07-18,3,3,10,15,-25.58,121.64,91.37
000058,2347,2015-07-21,2025-07-18,3,7,9,4,49.93,19.89,79.32
000059,2428,2015-07-21,2025-07-18,3,12,10,9,101.16,-17.49,61.52
000060,2428,2015-07-21,2025-07-18,3,6,3,8,-57.07,-14.52,-71.11
000061,2354,2015-07-21,2025-07-18,3,2,4,7,-19.05,14.61,-2.3
000062,2393,2015-07-21,2025-07-18,6,5,10,7,-10.04,-20.18,-29.48
000063,2358,2015-07-21,2025-07-18,13,13,5,10,134.79,55.2,165.84
000065,2320,2015-07-21,2025-07-18,4,5,8,13,14.89,25.63,46.74
000066,2254,2016-03-10,2025-07-18,5,6,6,6,93.76,64.15,156.77
000068,2428,2015-07-21,2025-07-18,3,2,10,13,40.72,-59.71,-13.62
000069,2429,2015-07-21,2025-07-18,4,5,14,15,20.83,9.67,25.99
000070,2421,2015-07-21,2025-07-18,9,3,7,5,38.5,62.42,97.58
000078,2429,2015-07-21,2025-07-18,6,12,9,5,6.57,-16.92,-10.35
000088,2413,2015-07-21,2025-07-18,3,3,11,11,65.73,1.54,69.77
000089,2429,2015-07-21,2025-07-18,5,10,6,9,31.34,-14.9,16.44
000090,2424,2015-07-21,2025-07-18,10,7,7,4,22.33,13.87,37.54
000096,2429,2015-07-21,2025-07-18,13,7,6,11,-70.43,19.57,-51.66
000099,2306,2015-07-21,2025-07-18,4,5,5,15,18.53,85.3,93.78
000100,2263,2015-07-21,2025-07-18,9,2,10,14,98.8,-3.09,91.92
000151,2419,2015-07-21,2025-07-18,7,2,9,9,12.71,-21.73,-8.06
000153,2172,2015-07-21,2025-07-18,6,15,6,12,90.44,31.77,104.03
000155,1991,2015-07-21,2025-07-18,11,4,13,10,221.77,-35.64,180.26
000156,2301,2015-07-21,2025-07-18,10,8,7,12,15.35,24.12,30.51
000157,2429,2015-07-21,2025-07-18,4,3,3,11,92.01,26.45,118.46
000158,2420,2015-07-21,2025-07-18,10,6,4,3,115.65,112.24,224.12
000159,2317,2015-07-21,2025-07-18,5,9,9,5,82.54,-48.62,33.08
000166,2404,2015-07-21,2025-07-18,7,9,14,4,-28.71,28.63,1.64
000301,2258,2015-07-21,2025-07-18,3,6,5,5,119.44,8.01,120.02
000333,2379,2015-07-21,2025-07-18,9,14,15,4,84.55,-36.83,43.2
000338,2427,2015-07-21,2025-07-18,4,2,15,10,55.77,-6.45,51.53
000400,2429,2015-07-21,2025-07-18,15,10,10,13,-21.29,20.14,34.64
000401,2289,2015-07-21,2025-07-18,11,3,10,2,91.16,-30.42,48.06
000402,2429,2015-07-21,2025-07-18,13,3,10,6,0.94,-7.17,-10.14
000403,2264,2015-11-12,2025-07-18,8,9,14,9,54.79,-15.28,47.89
000404,2420,2015-07-21,2025-07-18,4,12,8,8,32.6,16.73,47.99
000407,2335,2015-07-21,2025-07-18,3,6,13,9,83.73,-43.9,21.28
000408,2373,2015-07-21,2025-07-18,7,13,9,3,418.69,55.98,185.26
000409,2237,2015-07-21,2025-07-18,4,2,5,4,94.86,80.67,180.31
000410,2396,2015-07-21,2025-07-18,3,5,6,14,0.62,43.98,46.73
000411,2408,2015-07-21,2025-07-18,12,10,3,8,64.61,-51.58,3.02
000415,2117,2015-07-21,2025-07-18,4,11,4,15,-57.13,64.39,7.26
000417,2429,2015-07-21,2025-07-18,5,3,11,2,-4.11,-21.2,-27.4
000419,2429,2015-07-21,2025-07-18,3,9,9,14,5.51,-10.35,-2.3
000420,2404,2015-07-21,2025-07-18,9,13,8,14,110.53,71.98,87.16
000421,2409,2015-07-21,2025-07-18,4,3,6,3,36.21,45.37,81.58
000422,2387,2015-07-21,2025-07-18,15,14,13,7,345.39,34.35,175.38
000423,2429,2015-07-21,2025-07-18,3,8,11,14,53.72,1.29,51.24
000425,2396,2015-07-21,2025-07-18,15,15,3,12,-35.59,24.45,-21.11
000426,2228,2015-10-08,2025-07-18,15,3,10,15,52.36,97.27,150.3
000428,2429,2015-07-21,2025-07-18,5,2,15,9,73.3,-7.56,65.74
000429,2423,2015-07-22,2025-07-18,12,5,10,10,11.13,-0.6,9.96
000430,2405,2015-07-21,2025-07-18,7,2,2,12,-3.83,21.28,9.83
000488,2422,2015-07-21,2025-07-18,3,11,14,11,116.56,-71.26,33.18
000498,2389,2015-07-21,2025-07-18,5,4,14,11,37.88,-33.53,-3.57
000501,2429,2015-07-21,2025-07-18,13,5,4,6,84.63,-18.05,63.3
000503,2237,2015-08-11,2025-07-18,5,11,2,10,120.95,125.83,246.77
000504,2229,2015-08-17,2025-07-18,3,6,15,8,214.4,-7.05,198.62
000505,2296,2015-07-21,2025-07-18,15,14,10,12,-4.98,4.95,2.36
000506,2201,2015-07-21,2025-07-18,3,3,12,12,87.93,208.09,296.03
000507,2421,2015-07-21,2025-07-18,10,12,12,13,21.64,-32.84,-10.11
000509,2160,2015-07-21,2025-07-18,6,4,10,12,138.99,7.01,146.01
000510,2395,2015-07-21,2025-07-18,6,2,4,15,137.58,-32.56,92.05
000513,2372,2015-07-21,2025-07-18,12,10,13,8,64.47,-43.83,22.01
000514,2419,2015-07-21,2025-07-18,4,2,9,11,124.7,136.75,262.09
000516,2257,2015-07-21,2025-07-18,5,4,15,14,159.12,3.55,152.22
000517,2407,2015-07-21,2025-07-18,4,2,4,8,22.68,2.45,24.62
000518,2420,2015-07-31,2025-07-18,4,4,13,14,61.98,67.31,124.3
000519,2315,2015-12-28,2025-07-18,6,6,4,3,221.22,99.01,227.41
000520,2319,2015-12-18,2025-07-18,3,2,5,5,67.23,-0.78,17.57
000521,2409,2015-07-21,2025-07-18,6,2,15,11,13.7,70.98,82.07
000523,2369,2015-07-21,2025-07-18,13,14,3,7,71.86,-41.51,-11.93
000524,2318,2015-07-21,2025-07-18,3,8,5,8,23.25,43.6,63.39
000525,2401,2015-07-21,2025-07-18,6,3,9,10,-3.99,82.38,70.71
000526,2151,2015-08-10,2025-07-18,7,12,6,14,115.69,1.58,119.59
000528,2408,2015-07-21,2025-07-18,3,8,2,5,42.33,26.33,68.67
000529,2341,2015-07-21,2025-07-18,4,3,6,2,30.88,-18.6,15.02
000530,2429,2015-07-21,2025-07-18,5,15,7,7,-21.67,64.27,41.25
000531,2331,2015-07-21,2025-07-18,3,3,6,10,48.03,15.6,64.25
000532,2429,2015-07-21,2025-07-18,4,11,4,8,93.62,-29.23,23.96
000533,2329,2015-07-21,2025-07-18,3,7,4,14,70.18,50.45,99.67
000534,2124,2015-07-21,2025-07-18,5,4,6,3,106.41,51.15,157.56
000536,2404,2015-07-21,2025-07-18,3,2,4,2,71.08,129.1,204.82
000537,2356,2015-07-21,2025-07-18,3,2,9,13,55.79,132.87,182.01
000538,2265,2015-07-21,2025-07-18,5,4,7,15,83.12,-30.07,53.05
000539,2429,2015-07-21,2025-07-18,3,3,3,11,-0.1,-19.08,-23.8
000541,2422,2015-07-21,2025-07-21,13,7,7,11,-4.6,23.09,16.79
000543,2419,2015-07-21,2025-07-21,5,2,15,2,-7.13,14.38,7.26
000544,2424,2015-07-21,2025-07-21,3,2,4,5,27.05,3.48,28.36
000545,2268,2015-09-28,2025-07-21,13,15,9,14,58.99,-16.36,3.3
000546,2397,2015-07-21,2025-07-21,3,12,3,10,31.74,24.97,60.03
000547,2153,2015-07-21,2025-07-21,5,13,8,13,79.72,7.15,92.97
000548,2430,2015-07-21,2025-07-21,7,6,11,8,31.15,41.3,63.16
000550,2430,2015-07-21,2025-07-21,14,15,15,9,70.82,9.63,53.31
000551,2410,2015-07-21,2025-07-21,5,7,2,8,66.64,10.65,54.63
000552,2419,2015-07-21,2025-07-21,11,4,4,9,-47.57,19.66,-25.89
000553,2137,2015-07-21,2025-07-21,3,4,15,15,-23.74,9.88,-17.49
000554,2430,2015-07-21,2025-07-21,4,3,7,11,9.05,12.04,21.09
000555,2252,2015-07-21,2025-07-21,13,8,9,11,33.42,34.72,81.02
000557,2284,2015-07-21,2025-07-21,13,13,7,15,-3.64,16.21,9.21
000558,2293,2015-07-21,2025-07-21,8,11,5,3,-71.89,9.06,-63.89
000559,2415,2015-07-21,2025-07-21,8,14,6,11,-33.49,0.35,-23.96
000560,2290,2015-07-24,2025-07-21,3,8,6,7,71.19,78.9,145.86
000561,2420,2015-07-21,2025-07-21,4,3,14,9,88.42,4.2,92.01
000563,2349,2015-07-21,2025-07-21,7,3,4,12,-1.32,-2.59,1.64
000564,2245,2015-08-05,2025-07-21,3,14,6,3,206.61,97.07,242.74
000565,2300,2015-07-21,2025-07-21,6,3,14,3,36.74,36.94,73.68
000566,2197,2015-10-28,2025-07-21,5,15,12,12,74.56,15.36,88.76
000567,2404,2015-08-06,2025-07-21,4,9,9,6,103.15,-32.77,41.74
000568,2412,2015-07-21,2025-07-21,7,12,15,12,218.37,0.35,219.25
000570,2430,2015-07-21,2025-07-21,3,6,11,8,55.38,16.35,70.22
000571,2193,2015-07-21,2025-07-21,4,9,3,5,123.06,-13.51,76.67
000572,2427,2015-07-21,2025-07-21,9,5,6,6,115.61,44.13,170.52
000573,2430,2015-07-21,2025-07-21,3,5,3,3,33.75,34.99,71.36
000576,2341,2015-07-21,2025-07-21,3,7,9,13,208.48,5.31,190.22
000581,2430,2015-07-21,2025-07-21,3,3,6,14,-22.84,-20.33,-43.16
000582,2286,2015-07-21,2025-07-21,3,3,14,15,44.34,-23.66,19.57
000584,2177,2015-07-21,2025-07-10,4,6,5,12,62.41,94.63,158.76
000586,2262,2015-07-21,2025-07-21,3,2,2,11,33.13,68.95,96.77
000589,2430,2015-07-21,2025-07-21,9,8,3,4,51.56,-32.07,19.49
000590,2358,2015-07-21,2025-07-21,3,9,13,15,23.75,36.07,57.18
000591,2423,2015-07-21,2025-07-21,7,4,8,9,48.61,-31.05,21.53
000592,2312,2015-07-21,2025-07-21,6,2,8,15,63.7,-31.67,24.73
000593,2365,2015-07-21,2025-07-21,6,3,11,11,78.14,29.15,91.96
000595,2291,2015-07-21,2025-07-21,5,2,10,5,75.45,94.85,167.79
000596,2430,2015-07-21,2025-07-21,11,2,7,14,192.11,-21.48,183.21
000597,2400,2015-07-21,2025-07-21,3,4,2,8,64.46,22.67,85.18
000598,2430,2015-07-21,2025-07-21,5,7,10,11,29.46,11.98,39.55
000599,2408,2015-07-21,2025-07-21,5,7,15,7,-16.48,43.38,30.74
000600,2428,2015-07-21,2025-07-21,15,15,10,13,27.35,101.5,124.47
000601,2360,2015-07-21,2025-07-21,4,2,2,2,68.78,38.64,105.79
000603,2296,2015-07-21,2025-07-21,13,4,2,8,-4.28,39.65,15.09
000605,2428,2015-07-21,2025-07-21,8,14,13,15,-13.51,48.39,36.23
000607,2430,2015-07-21,2025-07-21,3,8,10,14,65.26,49.75,113.35
000608,2266,2015-08-21,2025-07-21,5,3,7,6,49.07,-8.17,39.87
000609,2381,2015-07-21,2025-07-21,3,2,6,3,34.25,10.55,45.54
000610,2315,2015-07-21,2025-07-21,3,5,9,9,141.83,-26.33,117.32
000612,2333,2015-07-21,2025-07-21,5,11,2,13,164.55,44.93,212.0
000615,2337,2015-07-21,2025-07-21,10,4,2,2,118.17,-13.95,100.95
000617,2321,2015-07-21,2025-07-21,14,12,7,4,-39.33,94.54,50.21
000619,2390,2015-07-21,2025-07-21,7,5,12,4,20.96,-13.34,5.24
000620,2420,2015-07-21,2025-07-21,3,3,11,9,24.08,40.43,65.0
000622,2303,2015-10-09,2025-07-15,4,2,10,15,99.96,23.49,118.21
000623,2429,2015-07-21,2025-07-21,14,4,14,7,-27.87,22.61,-5.94
000625,2410,2015-07-21,2025-07-21,15,14,8,11,79.42,14.91,85.63
000626,2312,2015-07-21,2025-07-21,4,8,11,12,96.28,0.67,99.79
000627,2360,2015-07-21,2025-07-21,3,2,11,11,63.7,-35.67,28.02
000628,2396,2015-08-24,2025-07-21,6,13,12,3,-26.47,203.46,178.3
000629,2020,2015-07-21,2025-07-21,3,2,8,2,88.49,59.46,146.16
000630,2359,2015-10-23,2025-07-21,9,7,7,11,69.04,-39.16,23.12
000631,2430,2015-07-21,2025-07-21,5,3,9,15,1.19,-20.02,-19.5
000632,2430,2015-07-21,2025-07-21,15,2,12,15,33.45,-9.56,24.67
000633,2135,2015-07-21,2025-07-21,3,4,6,3,30.98,-25.22,3.74
000635,2355,2015-07-21,2025-07-21,15,14,7,10,108.61,-30.38,31.36
000636,2343,2015-07-21,2025-07-21,11,5,6,8,157.8,-63.89,99.74
000637,2428,2015-07-21,2025-07-21,10,9,5,5,-13.42,-15.64,-24.23
000638,2150,2015-07-21,2025-07-21,4,3,3,11,46.35,40.99,84.82
000639,2342,2015-07-21,2025-07-21,4,4,8,13,57.71,-1.17,53.32
000650,2393,2015-09-14,2025-07-21,14,7,9,10,62.71,-38.58,24.13
000651,2273,2015-07-21,2025-07-21,15,9,15,14,103.45,22.47,123.43
000652,2428,2015-07-21,2025-07-21,7,2,9,13,116.44,15.72,135.54
000655,2396,2015-08-24,2025-07-21,14,5,7,12,96.24,35.01,122.21
000656,2353,2015-07-21,2025-07-21,15,15,8,9,21.33,-35.33,-25.81
000657,2283,2015-07-21,2025-07-21,10,11,9,10,45.05,146.52,182.5
000659,2327,2015-09-08,2025-07-21,6,13,8,15,148.58,-34.14,56.08
000661,2415,2015-07-21,2025-07-21,12,14,14,8,57.11,-77.08,-25.16
