seq,asset_code,asset_name,entry_date,exit_date,entry_price,exit_price,pnl_pct,hold_days,reason
1,513100,纳指ETF,2015-07-21,2015-08-26,0.3050,0.2780,-8.85,26,区间切换
2,513100,纳指ETF,2015-08-31,2015-09-02,0.2960,0.2810,-5.07,2,区间切换
3,513100,纳指ETF,2015-09-10,2015-09-11,0.2920,0.2900,-0.68,1,区间切换
4,513100,纳指ETF,2015-09-14,2015-09-15,0.2950,0.2930,-0.68,1,区间切换
5,sh513500,标普500ETF博时,2015-10-12,2015-10-13,0.5830,0.5820,-0.17,2,区间切换
6,sh513100,纳指ETF,2015-10-12,2015-10-13,0.2900,0.2920,0.69,2,区间切换
7,sz159941,纳指ETF,2015-10-12,2015-10-13,0.2320,0.2320,0.00,2,区间切换
8,513100,纳指ETF,2015-10-13,2016-01-08,0.2920,0.3060,4.79,62,区间切换
9,600030,中信证券,2016-01-22,2016-01-25,15.3400,15.3400,0.00,1,区间切换
10,600030,中信证券,2016-01-27,2016-02-23,14.0600,15.5600,10.67,14,区间切换
11,600030,中信证券,2016-02-26,2016-03-09,14.3200,15.8000,10.34,8,区间切换
12,600030,中信证券,2016-03-10,2016-03-18,15.8700,16.7000,5.23,6,区间切换
13,sh512500,中证500ETF华夏,2016-03-21,2016-03-31,2.8800,2.9380,2.01,9,MACD卖出
14,sh512070,证券保险ETF易方达,2016-03-21,2016-03-31,0.5290,0.5420,2.46,9,MACD卖出
15,sh513660,恒生ETF,2016-04-05,2016-04-29,1.7160,1.7570,2.39,19,MACD卖出
16,sh513600,恒生指数ETF南方,2016-04-05,2016-04-29,1.6930,1.7430,2.95,19,MACD卖出
17,sh513500,标普500ETF博时,2016-03-21,2016-05-10,0.6090,0.6250,2.63,35,区间切换
18,sh513660,恒生ETF,2016-05-03,2016-05-10,1.7570,1.7000,-3.24,6,区间切换
19,sh513600,恒生指数ETF南方,2016-05-03,2016-05-10,1.7430,1.6840,-3.38,6,区间切换
20,600030,中信证券,2016-05-10,2016-06-01,15.5700,16.7900,7.84,16,区间切换
21,sh510500,中证500ETF,2016-06-06,2016-06-14,5.2570,4.9900,-5.08,5,区间切换
22,sz159922,中证500ETF嘉实,2016-06-06,2016-06-14,1.9710,1.8780,-4.72,5,区间切换
23,sz159901,深证100ETF易方达,2016-06-06,2016-06-14,1.8730,1.7790,-5.02,5,区间切换
24,600030,中信证券,2016-06-14,2016-06-23,15.5800,16.0900,3.27,7,区间切换
25,600030,中信证券,2016-06-24,2016-06-29,15.9100,16.2600,2.20,3,区间切换
26,sz159915,创业板ETF易方达,2016-08-08,2016-08-31,2.0190,2.0990,3.96,18,MACD卖出
27,sh512880,证券ETF,2016-10-17,2016-10-31,1.0300,1.0580,2.72,11,MACD卖出
28,sh513100,纳指ETF,2016-07-04,2016-11-15,0.3100,0.3440,10.97,90,区间切换
29,sh512000,券商ETF,2016-11-07,2016-11-15,0.5230,0.5490,4.97,7,区间切换
30,sz159949,创业板50ETF,2016-11-07,2016-11-15,0.9150,0.9160,0.11,7,区间切换
31,513100,纳指ETF,2016-11-15,2016-11-21,0.3440,0.3510,2.03,4,区间切换
32,513100,纳指ETF,2016-11-22,2016-12-07,0.3540,0.3550,0.28,11,区间切换
33,513100,纳指ETF,2016-12-08,2016-12-13,0.3570,0.3590,0.56,3,区间切换
34,sh512660,军工ETF,2017-01-09,2017-01-26,1.0170,1.0200,0.29,14,MACD卖出
35,sh512680,军工ETF广发,2017-01-09,2017-01-26,1.0000,0.9980,-0.20,14,MACD卖出
36,sh510500,中证500ETF,2017-02-06,2017-02-14,5.4300,5.5680,2.54,7,区间切换
37,sz159901,深证100ETF易方达,2017-02-06,2017-02-14,1.8850,1.9390,2.86,7,区间切换
38,513100,纳指ETF,2017-02-14,2017-04-19,0.3860,0.3920,1.55,44,区间切换
39,sh512070,证券保险ETF易方达,2017-05-08,2017-05-31,0.5390,0.5840,8.35,16,MACD卖出
40,513100,纳指ETF,2017-07-06,2017-07-13,0.4020,0.4120,2.49,5,区间切换
41,513100,纳指ETF,2017-07-14,2017-07-18,0.4120,0.4130,0.24,2,区间切换
42,513100,纳指ETF,2017-07-20,2018-02-12,0.4200,0.4230,0.71,141,区间切换
43,513100,纳指ETF,2018-02-23,2018-03-26,0.4490,0.4320,-3.79,21,区间切换
44,sz159957,创业板ETF华夏,2018-04-02,2018-04-12,1.0820,1.0540,-2.59,7,区间切换
45,sz159952,创业板ETF广发,2018-04-02,2018-04-12,1.0780,1.0350,-3.99,7,区间切换
46,sh512660,军工ETF,2018-04-02,2018-04-12,0.8490,0.8550,0.71,7,区间切换
47,513100,纳指ETF,2018-04-12,2018-04-13,0.4360,0.4390,0.69,1,区间切换
48,sz159941,纳指ETF,2018-05-07,2018-05-22,0.3500,0.3700,5.71,12,区间切换
49,513100,纳指ETF,2018-05-22,2018-05-24,0.4650,0.4670,0.43,2,区间切换
50,sz159941,纳指ETF,2018-05-28,2018-06-22,0.3650,0.3950,8.22,19,区间切换
51,sh513500,标普500ETF博时,2018-06-04,2018-06-22,0.8090,0.8300,2.60,14,区间切换
52,sh513100,纳指ETF,2018-06-04,2018-06-22,0.4750,0.4930,3.79,14,区间切换
53,600030,中信证券,2018-06-22,2018-07-25,16.3000,17.3400,6.38,23,区间切换
54,600030,中信证券,2018-07-27,2019-02-26,16.8400,25.4200,50.95,139,区间切换
55,sh512010,医药ETF易方达,2019-03-04,2019-03-29,0.3960,0.4310,8.84,20,MACD卖出
56,sh512890,红利低波ETF华泰柏瑞,2019-03-04,2019-04-04,0.5500,0.6030,9.64,24,区间切换
57,sh512010,医药ETF易方达,2019-04-01,2019-04-04,0.4310,0.4350,0.93,4,区间切换
58,513100,纳指ETF,2019-04-04,2019-04-12,0.5280,0.5320,0.76,5,区间切换
59,sh513030,德国ETF,2019-04-15,2019-04-17,0.9930,1.0060,1.31,3,区间切换
60,sh513500,标普500ETF博时,2019-04-15,2019-04-17,0.9090,0.9110,0.22,3,区间切换
61,sh513100,纳指ETF,2019-04-15,2019-04-17,0.5320,0.5360,0.75,3,区间切换
62,513100,纳指ETF,2019-04-17,2019-04-24,0.5360,0.5470,2.05,5,区间切换
63,513100,纳指ETF,2019-04-25,2019-04-26,0.5490,0.5520,0.55,1,区间切换
64,sh513030,德国ETF,2019-04-29,2019-04-30,1.0150,1.0080,-0.69,2,MACD卖出
65,sh513500,标普500ETF博时,2019-04-29,2019-05-09,0.9240,0.9080,-1.73,6,区间切换
66,sh513100,纳指ETF,2019-04-29,2019-05-09,0.5580,0.5400,-3.23,6,区间切换
67,sh513030,德国ETF,2019-05-06,2019-05-09,1.0080,1.0050,-0.30,4,区间切换
68,600030,中信证券,2019-05-09,2019-05-13,19.9800,20.2000,1.10,2,区间切换
69,600030,中信证券,2019-05-15,2019-05-16,20.0700,20.2700,1.00,1,区间切换
70,600030,中信证券,2019-05-20,2019-05-22,19.5800,20.2400,3.37,2,区间切换
71,600030,中信证券,2019-05-23,2019-05-29,19.9800,20.4100,2.15,4,区间切换
72,600030,中信证券,2019-06-03,2019-06-12,20.2900,20.8800,2.91,6,区间切换
73,sh513600,恒生指数ETF南方,2019-06-17,2019-06-17,2.5150,2.5150,0.00,1,区间切换
74,sz159920,恒生ETF,2019-06-17,2019-06-17,1.4680,1.4680,0.00,1,区间切换
75,sh513050,中概互联网ETF易方达,2019-06-17,2019-06-17,1.1480,1.1480,0.00,1,区间切换
76,600030,中信证券,2019-06-17,2019-06-20,20.6700,21.5800,4.40,3,区间切换
77,sh513050,中概互联网ETF易方达,2019-06-24,2019-06-28,1.1910,1.2260,2.94,5,MACD卖出
78,sh513600,恒生指数ETF南方,2019-06-24,2019-07-23,2.5850,2.6200,1.35,22,区间切换
79,sz159920,恒生ETF,2019-06-24,2019-07-23,1.5280,1.5410,0.85,22,区间切换
80,sh513050,中概互联网ETF易方达,2019-07-01,2019-07-23,1.2260,1.2120,-1.14,17,区间切换
81,600030,中信证券,2019-07-23,2019-07-25,22.8300,23.2900,2.01,2,区间切换
82,sh512690,酒ETF,2019-07-29,2019-08-05,0.1790,0.1550,-13.41,6,区间切换
83,sh512760,芯片ETF,2019-08-05,2019-08-05,0.5470,0.5470,0.00,1,区间切换
84,sh512480,半导体ETF,2019-08-05,2019-08-05,0.5170,0.5170,0.00,1,区间切换
85,600030,中信证券,2019-08-05,2019-08-28,21.4800,22.6100,5.26,17,区间切换
86,600030,中信证券,2019-08-29,2019-09-03,22.4500,22.7800,1.47,3,区间切换
87,sh513600,恒生指数ETF南方,2019-10-14,2019-11-15,2.5290,2.4880,-1.62,25,MACD卖出
88,sz159967,创业板成长ETF,2019-09-09,2019-11-18,0.3240,0.3250,0.31,45,区间切换
89,sh515000,科技ETF,2019-10-14,2019-11-18,0.5810,0.6080,4.65,26,区间切换
90,sz159977,创业板ETF天弘,2019-11-18,2019-11-18,0.8380,0.8380,0.00,1,区间切换
91,600030,中信证券,2019-11-18,2019-11-19,21.7000,21.8900,0.88,1,区间切换
92,sz159977,创业板ETF天弘,2019-11-25,2019-11-25,0.8380,0.8380,0.00,1,区间切换
93,sh515300,300红利低波ETF嘉实,2019-11-25,2019-11-25,0.6660,0.6660,0.00,1,区间切换
94,600030,中信证券,2019-11-25,2019-11-26,21.5800,21.6700,0.42,1,区间切换
95,600030,中信证券,2019-11-29,2019-12-09,21.4700,22.4000,4.33,6,区间切换
96,sh512200,房地产ETF,2019-12-16,2020-01-23,2.4440,2.1640,-11.46,28,MACD卖出
97,sz159919,沪深300ETF嘉实,2019-12-16,2020-01-23,3.6190,3.3410,-7.68,28,MACD卖出
98,sh510300,沪深300ETF华泰柏瑞,2019-12-16,2020-01-23,3.4760,3.2390,-6.82,28,MACD卖出
99,sh512660,军工ETF,2020-02-03,2020-02-04,0.7110,0.7000,-1.55,2,区间切换
100,sh512680,军工ETF广发,2020-02-03,2020-02-04,0.7180,0.7020,-2.23,2,区间切换
101,600030,中信证券,2020-02-04,2020-02-12,20.8000,22.5100,8.22,6,区间切换
102,sh515070,人工智能AIETF,2020-02-17,2020-03-02,1.2020,1.2400,3.16,11,区间切换
103,600030,中信证券,2020-03-02,2020-03-03,23.8000,25.0000,5.04,1,区间切换
104,600030,中信证券,2020-03-16,2020-06-02,23.8900,23.0500,-3.52,52,区间切换
105,sz159901,深证100ETF易方达,2020-06-08,2020-06-16,2.7000,2.7240,0.89,7,区间切换
106,sz159919,沪深300ETF嘉实,2020-06-08,2020-06-16,3.6940,3.6560,-1.03,7,区间切换
107,sh510330,沪深300ETF华夏,2020-06-08,2020-06-16,3.6640,3.6340,-0.82,7,区间切换
108,600030,中信证券,2020-06-16,2020-06-17,22.8200,22.8300,0.04,1,区间切换
109,sz159901,深证100ETF易方达,2020-06-22,2020-07-07,2.8250,3.2220,14.05,10,区间切换
110,sz159919,沪深300ETF嘉实,2020-06-22,2020-07-07,3.7610,4.5540,21.08,10,区间切换
111,sh510330,沪深300ETF华夏,2020-06-22,2020-07-07,3.7460,4.4620,19.11,10,区间切换
112,513100,纳指ETF,2020-07-07,2020-07-27,0.7730,0.7660,-0.91,14,区间切换
113,513100,纳指ETF,2020-07-28,2022-03-16,0.7770,0.8740,12.48,396,区间切换
114,513100,纳指ETF,2022-03-18,2022-04-12,0.9090,0.9100,0.11,15,区间切换
115,513100,纳指ETF,2022-04-13,2022-04-14,0.9120,0.9270,1.64,1,区间切换
116,513100,纳指ETF,2022-04-15,2022-04-19,0.9060,0.9090,0.33,2,区间切换
117,sh513360,教育ETF博时,2022-04-25,2022-04-27,0.3100,0.2900,-6.45,3,区间切换
118,600030,中信证券,2022-04-27,2022-04-28,18.1000,18.6500,3.04,1,区间切换
119,sh513360,教育ETF博时,2022-05-05,2022-05-31,0.3220,0.3340,3.73,19,MACD卖出
120,sh513050,中概互联网ETF易方达,2022-05-09,2022-05-31,0.9720,1.0720,10.29,17,MACD卖出
121,sh513070,港股通消费ETF易方达,2022-05-09,2022-06-07,0.9660,1.0910,12.94,21,区间切换
122,sh516160,新能源ETF,2022-06-06,2022-06-07,3.6260,3.8430,5.98,2,区间切换
123,sz159919,沪深300ETF嘉实,2022-06-06,2022-06-07,3.9120,3.9860,1.89,2,区间切换
124,513100,纳指ETF,2022-06-07,2022-08-03,0.8560,0.8860,3.50,41,区间切换
125,sz159605,中概互联ETF,2022-08-08,2022-08-08,0.7610,0.7610,0.00,1,区间切换
126,sz159607,中概互联网ETF嘉实,2022-08-08,2022-08-08,0.7650,0.7650,0.00,1,区间切换
127,sh513520,日经ETF,2022-08-08,2022-08-08,1.0700,1.0700,0.00,1,区间切换
128,513100,纳指ETF,2022-08-08,2022-09-02,0.9070,0.8630,-4.85,19,区间切换
129,513100,纳指ETF,2022-09-07,2022-09-16,0.8480,0.8450,-0.35,6,区间切换
130,sz159852,软件ETF,2022-10-17,2022-10-31,0.7630,0.8540,11.93,11,MACD卖出
131,sh515230,软件ETF,2022-10-17,2022-10-31,0.7230,0.8150,12.72,11,MACD卖出
132,sh513290,纳指生物科技ETF汇添富,2022-10-17,2022-11-01,0.9980,1.0880,9.02,12,区间切换
133,600030,中信证券,2022-11-01,2022-11-02,17.2800,17.7000,2.43,1,区间切换
134,sh512200,房地产ETF,2022-11-07,2022-11-30,1.8130,2.2060,21.68,18,MACD卖出
135,sh510500,中证500ETF,2022-11-07,2022-11-30,5.9140,6.0000,1.45,18,MACD卖出
136,sh513600,恒生指数ETF南方,2022-11-07,2022-11-30,1.7370,2.0350,17.16,18,MACD卖出
137,sz159919,沪深300ETF嘉实,2022-12-05,2022-12-06,3.8150,3.8100,-0.13,2,区间切换
138,sh510330,沪深300ETF华夏,2022-12-05,2022-12-06,3.7930,3.8040,0.29,2,区间切换
139,sh510300,沪深300ETF华泰柏瑞,2022-12-05,2022-12-06,3.6300,3.6480,0.50,2,区间切换
140,513100,纳指ETF,2022-12-06,2022-12-08,0.8420,0.8300,-1.43,2,区间切换
141,sz159919,沪深300ETF嘉实,2022-12-12,2022-12-12,3.8710,3.8710,0.00,1,区间切换
142,sh510330,沪深300ETF华夏,2022-12-12,2022-12-12,3.8640,3.8640,0.00,1,区间切换
143,sh510300,沪深300ETF华泰柏瑞,2022-12-12,2022-12-12,3.7010,3.7010,0.00,1,区间切换
144,513100,纳指ETF,2022-12-12,2022-12-13,0.8250,0.8330,0.97,1,区间切换
145,sz159919,沪深300ETF嘉实,2022-12-19,2022-12-30,3.8360,3.7620,-1.93,10,MACD卖出
146,sh510330,沪深300ETF华夏,2022-12-19,2022-12-30,3.8370,3.7470,-2.35,10,MACD卖出
147,sh510300,沪深300ETF华泰柏瑞,2022-12-19,2022-12-30,3.6780,3.5930,-2.31,10,MACD卖出
148,sz159919,沪深300ETF嘉实,2023-01-03,2023-01-17,3.7620,4.0260,7.02,11,区间切换
149,sh510330,沪深300ETF华夏,2023-01-03,2023-01-17,3.7470,4.0150,7.15,11,区间切换
150,sh510300,沪深300ETF华泰柏瑞,2023-01-03,2023-01-17,3.5930,3.8630,7.51,11,区间切换
151,513100,纳指ETF,2023-01-17,2023-06-07,0.8160,1.0500,28.68,92,区间切换
152,513100,纳指ETF,2023-06-09,2023-06-26,1.0450,1.0910,4.40,9,区间切换
153,sz159659,纳斯达克100ETF,2023-07-03,2023-07-03,1.2190,1.2190,0.00,1,区间切换
154,sh513650,标普500ETF南方,2023-07-03,2023-07-03,1.1660,1.1660,0.00,1,区间切换
155,sh513660,恒生ETF,2023-07-03,2023-07-03,2.2060,2.2060,0.00,1,区间切换
156,513100,纳指ETF,2023-07-03,2023-07-10,1.1160,1.1010,-1.34,5,区间切换
157,513100,纳指ETF,2023-07-11,2023-07-13,1.1000,1.1130,1.18,2,区间切换
158,513100,纳指ETF,2023-07-14,2023-07-19,1.1290,1.1530,2.13,3,区间切换
159,sh512200,房地产ETF,2023-07-24,2023-07-26,1.7540,1.8380,4.79,3,区间切换
160,sh510050,上证50ETF,2023-07-24,2023-07-26,2.3940,2.4760,3.43,3,区间切换
161,sh510100,上证50ETF易方达,2023-07-24,2023-07-26,2.3170,2.3830,2.85,3,区间切换
162,513100,纳指ETF,2023-07-26,2023-08-14,1.1300,1.1040,-2.30,13,区间切换
163,sz159859,生物医药ETF,2023-08-21,2023-08-31,0.4690,0.4700,0.21,9,MACD卖出
164,sz159992,创新药ETF,2023-09-04,2023-09-28,0.8000,0.8460,5.75,19,MACD卖出
165,sh515120,创新药ETF,2023-09-04,2023-09-28,0.5930,0.6300,6.24,19,MACD卖出
166,sz159992,创新药ETF,2023-10-09,2023-10-31,0.8460,0.8800,4.02,17,MACD卖出
167,sh515120,创新药ETF,2023-10-09,2023-10-31,0.6300,0.6570,4.29,17,MACD卖出
168,sz159509,纳指科技ETF景顺,2023-11-06,2023-11-30,0.9540,1.0220,7.13,19,MACD卖出
169,sh515220,煤炭ETF,2023-09-04,2023-12-27,0.9820,1.0720,9.16,77,区间切换
170,sz159659,纳斯达克100ETF,2023-11-06,2023-12-27,1.1880,1.3200,11.11,38,区间切换
171,sh513290,纳指生物科技ETF汇添富,2023-12-04,2023-12-27,1.0230,1.1360,11.05,18,区间切换
172,600030,中信证券,2023-12-27,2023-12-28,19.8300,19.8300,0.00,1,区间切换
173,sh513290,纳指生物科技ETF汇添富,2024-01-02,2024-01-09,1.1310,1.1830,4.60,6,区间切换
174,sh513520,日经ETF,2024-01-02,2024-01-09,1.3080,1.3470,2.98,6,区间切换
175,sz159513,纳斯达克100ETF大成,2024-01-02,2024-01-09,1.0220,1.0200,-0.20,6,区间切换
176,600030,中信证券,2024-01-09,2024-01-26,19.4200,20.4000,5.05,13,区间切换
177,sh512700,银行ETF南方,2024-01-29,2024-01-30,1.0630,1.0710,0.75,2,区间切换
178,sh512820,银行ETF汇添富,2024-01-29,2024-01-30,0.9340,0.9360,0.21,2,区间切换
179,sz159887,银行ETF,2024-01-29,2024-01-30,0.9100,0.9130,0.33,2,区间切换
180,600030,中信证券,2024-01-30,2024-02-20,20.4500,20.7300,1.37,9,区间切换
181,sh516160,新能源ETF,2024-02-26,2024-02-29,1.9180,1.9770,3.08,4,MACD卖出
182,sh510050,上证50ETF,2024-02-26,2024-02-29,2.3290,2.3050,-1.03,4,MACD卖出
183,sz159562,黄金股ETF,2024-03-04,2024-04-01,1.0760,1.4460,34.39,21,MACD卖出
184,sh513040,港股通互联网ETF易方达,2024-04-08,2024-04-30,0.8770,1.0280,17.22,17,MACD卖出
185,sh513040,港股通互联网ETF易方达,2024-05-06,2024-05-31,1.0280,0.9730,-5.35,20,MACD卖出
186,sh510880,红利ETF华泰柏瑞,2024-02-26,2024-06-14,2.8660,2.9300,2.23,74,MACD卖出
187,sz159834,金ETF南方,2024-03-04,2024-07-26,4.9260,5.5630,12.93,99,区间切换
188,sh513910,港股央企红利ETF,2024-06-03,2024-07-26,1.1490,1.1130,-3.13,39,区间切换
189,sh513290,纳指生物科技ETF汇添富,2024-06-17,2024-07-26,1.1910,1.3040,9.49,30,区间切换
190,600030,中信证券,2024-07-26,2024-08-01,18.9200,19.5500,3.33,4,区间切换
191,sz159506,港股通医疗ETF富国,2024-08-05,2024-08-06,0.7070,0.7150,1.13,2,区间切换
192,sh513200,港股通医药ETF易方达,2024-08-05,2024-08-06,0.5930,0.6000,1.18,2,区间切换
193,sz159570,港股通创新药ETF,2024-08-05,2024-08-06,0.8060,0.8190,1.61,2,区间切换
194,600030,中信证券,2024-08-06,2024-09-27,19.3200,23.4000,21.12,36,区间切换
195,sh510500,中证500ETF,2024-09-30,2024-09-30,5.6360,6.4420,14.30,1,MACD卖出
196,sh510330,沪深300ETF华夏,2024-09-30,2024-10-08,4.0740,4.6260,13.55,2,区间切换
197,sz159919,沪深300ETF嘉实,2024-09-30,2024-10-08,4.1310,4.6250,11.96,2,区间切换
198,513100,纳指ETF,2024-10-08,2024-10-18,1.3900,1.4610,5.11,8,区间切换
199,sh588830,科创新能源ETF,2024-10-21,2024-10-21,1.1890,1.1890,0.00,1,区间切换
200,sh513310,中韩半导体ETF,2024-10-21,2024-10-21,1.4900,1.4900,0.00,1,区间切换
201,sh513360,教育ETF博时,2024-10-21,2024-10-21,0.5230,0.5230,0.00,1,区间切换
202,513100,纳指ETF,2024-10-21,2025-01-13,1.4640,1.6130,10.18,59,区间切换
203,513100,纳指ETF,2025-01-15,2025-04-08,1.6030,1.3060,-18.53,52,区间切换
204,513100,纳指ETF,2025-04-11,2025-07-21,1.3720,1.6620,21.14,67,回测结束
