rank,m_fast,m_slow,m_signal,buy_signal,sell_signal,w_confirm,trailing_stop,take_profit,max_positions,annualized,mdd,sharpe,calmar,combined,trades,win_rate,avg_hold_days
1,6,28,3,0,1,0,15,30,1,37.4354,13.9567,1.8859,2.6822,2.2841,23,73.9130,50
2,6,28,3,2,1,0,15.0000,30.0000,1,37.4354,13.9567,1.8859,2.6822,2.2841,23,73.9130,50
3,6,28,3,0,1,0,0.0000,30.0000,1,37.2613,14.4928,1.8735,2.5710,2.2223,23,73.9130,50
4,6,28,3,0,1,0,20.0000,30.0000,1,37.2613,14.4928,1.8735,2.5710,2.2223,23,73.9130,50
5,6,28,3,2,1,0,0.0000,30.0000,1,37.2613,14.4928,1.8735,2.5710,2.2223,23,73.9130,50
6,6,28,3,2,1,0,20.0000,30.0000,1,37.2613,14.4928,1.8735,2.5710,2.2223,23,73.9130,50
7,6,28,3,2,2,0,20.0000,30.0000,1,34.1224,12.8558,1.7785,2.6542,2.2164,36,75.0000,25
8,6,28,3,0,2,0,15.0000,30.0000,1,34.1224,12.8558,1.7785,2.6542,2.2164,36,75.0000,25
9,6,28,3,0,2,0,20.0000,30.0000,1,34.1224,12.8558,1.7785,2.6542,2.2164,36,75.0000,25
10,6,28,3,0,2,0,0.0000,30.0000,1,34.1224,12.8558,1.7785,2.6542,2.2164,36,75.0000,25
11,6,28,3,2,2,0,15.0000,30.0000,1,34.1224,12.8558,1.7785,2.6542,2.2164,36,75.0000,25
12,6,28,3,2,2,0,0.0000,30.0000,1,34.1224,12.8558,1.7785,2.6542,2.2164,36,75.0000,25
13,6,28,3,2,0,0,15.0000,30.0000,1,37.0688,16.0456,1.8655,2.3102,2.0879,23,73.9130,50
14,6,28,3,0,0,0,15.0000,30.0000,1,37.0688,16.0456,1.8655,2.3102,2.0879,23,73.9130,50
15,6,28,3,0,1,0,0.0000,30.0000,2,28.7778,13.3890,1.8663,2.1494,2.0078,35,82.8571,59
16,6,28,3,2,1,0,0.0000,30.0000,2,28.7778,13.3890,1.8663,2.1494,2.0078,35,82.8571,59
17,6,28,3,0,1,0,0.0000,30.0000,3,24.0759,10.7496,1.7356,2.2397,1.9876,46,80.4348,60
18,6,28,3,2,1,0,0.0000,30.0000,3,24.0759,10.7496,1.7356,2.2397,1.9876,46,80.4348,60
19,6,28,3,2,0,0,20.0000,30.0000,1,36.8238,17.4917,1.8372,2.1052,1.9712,23,73.9130,51
20,6,28,3,0,0,0,0.0000,30.0000,1,36.8238,17.4917,1.8372,2.1052,1.9712,23,73.9130,51
21,6,28,3,2,0,0,0.0000,30.0000,1,36.8238,17.4917,1.8372,2.1052,1.9712,23,73.9130,51
22,6,28,3,0,0,0,20.0000,30.0000,1,36.8238,17.4917,1.8372,2.1052,1.9712,23,73.9130,51
23,6,28,3,0,1,0,20.0000,30.0000,2,28.0012,13.3890,1.8261,2.0914,1.9587,36,80.5556,56
24,6,28,3,2,1,0,20.0000,30.0000,2,28.0012,13.3890,1.8261,2.0914,1.9587,36,80.5556,56
25,6,28,3,2,1,0,20.0000,30.0000,3,23.4820,10.7496,1.7093,2.1845,1.9469,47,78.7234,58
26,6,28,3,0,1,0,20.0000,30.0000,3,23.4820,10.7496,1.7093,2.1845,1.9469,47,78.7234,58
27,6,28,3,2,2,0,20.0000,50.0000,1,33.5431,15.6339,1.6572,2.1455,1.9014,33,72.7273,28
28,6,28,3,0,2,0,0.0000,50.0000,1,33.5431,15.6339,1.6572,2.1455,1.9014,33,72.7273,28
29,6,28,3,0,2,0,20.0000,50.0000,1,33.5431,15.6339,1.6572,2.1455,1.9014,33,72.7273,28
30,6,28,3,2,2,0,0.0000,50.0000,1,33.5431,15.6339,1.6572,2.1455,1.9014,33,72.7273,28
31,6,28,3,0,0,0,0.0000,30.0000,2,26.6513,13.3890,1.7303,1.9905,1.8604,34,79.4118,62
32,6,28,3,2,0,0,0.0000,30.0000,2,26.6513,13.3890,1.7303,1.9905,1.8604,34,79.4118,62
33,6,28,3,0,2,3,15.0000,30.0000,1,28.1633,12.8558,1.4848,2.1907,1.8377,35,71.4286,24
34,6,28,3,0,2,3,0.0000,30.0000,1,28.1633,12.8558,1.4848,2.1907,1.8377,35,71.4286,24
35,6,28,3,0,2,3,20.0000,30.0000,1,28.1633,12.8558,1.4848,2.1907,1.8377,35,71.4286,24
36,6,28,3,2,2,3,20.0000,30.0000,1,28.1633,12.8558,1.4848,2.1907,1.8377,35,71.4286,24
37,6,28,3,2,2,3,0.0000,30.0000,1,28.1633,12.8558,1.4848,2.1907,1.8377,35,71.4286,24
38,6,28,3,2,2,3,15.0000,30.0000,1,28.1633,12.8558,1.4848,2.1907,1.8377,35,71.4286,24
39,6,28,3,2,1,3,15.0000,30.0000,1,30.9407,14.3610,1.5195,2.1545,1.8370,23,65.2174,50
40,6,28,3,0,1,3,15.0000,30.0000,1,30.9407,14.3610,1.5195,2.1545,1.8370,23,65.2174,50
41,6,28,3,2,1,4,0.0000,30.0000,2,26.7111,13.4123,1.6721,1.9915,1.8318,35,71.4286,57
42,6,28,3,0,1,4,0.0000,30.0000,2,26.7111,13.4123,1.6721,1.9915,1.8318,35,71.4286,57
43,6,28,3,0,2,0,15.0000,50.0000,1,32.0910,15.6339,1.5914,2.0527,1.8220,33,72.7273,27
44,6,28,3,2,2,0,15.0000,50.0000,1,32.0910,15.6339,1.5914,2.0527,1.8220,33,72.7273,27
45,6,28,3,0,0,0,20.0000,30.0000,2,25.8966,13.3890,1.6989,1.9342,1.8165,34,79.4118,61
46,6,28,3,2,0,0,20.0000,30.0000,2,25.8966,13.3890,1.6989,1.9342,1.8165,34,79.4118,61
47,6,28,3,2,1,3,20.0000,30.0000,1,30.7749,14.4928,1.5084,2.1235,1.8159,23,65.2174,50
48,6,28,3,2,1,3,0.0000,30.0000,1,30.7749,14.4928,1.5084,2.1235,1.8159,23,65.2174,50
49,6,28,3,0,1,3,20.0000,30.0000,1,30.7749,14.4928,1.5084,2.1235,1.8159,23,65.2174,50
50,6,28,3,0,1,3,0.0000,30.0000,1,30.7749,14.4928,1.5084,2.1235,1.8159,23,65.2174,50
51,14,28,3,3,2,0,15.0000,50.0000,5,10.8065,3.5461,0.5472,3.0475,1.7973,34,85.2941,21
52,6,28,3,0,1,4,15.0000,30.0000,1,32.1133,15.9597,1.5638,2.0121,1.7880,23,65.2174,51
53,6,28,3,2,1,4,15.0000,30.0000,1,32.1133,15.9597,1.5638,2.0121,1.7880,23,65.2174,51
54,6,28,3,0,1,4,20.0000,30.0000,2,25.9245,13.4123,1.6319,1.9329,1.7824,36,69.4444,54
55,6,28,3,2,1,4,20.0000,30.0000,2,25.9245,13.4123,1.6319,1.9329,1.7824,36,69.4444,54
56,6,28,3,2,1,4,0.0000,30.0000,1,31.9459,15.9597,1.5527,2.0017,1.7772,23,65.2174,51
57,6,28,3,2,1,4,20.0000,30.0000,1,31.9459,15.9597,1.5527,2.0017,1.7772,23,65.2174,51
58,6,28,3,0,1,4,0.0000,30.0000,1,31.9459,15.9597,1.5527,2.0017,1.7772,23,65.2174,51
59,6,28,3,0,1,4,20.0000,30.0000,1,31.9459,15.9597,1.5527,2.0017,1.7772,23,65.2174,51
60,6,28,3,2,1,4,0.0000,30.0000,3,21.9721,10.8734,1.5322,2.0207,1.7765,46,69.5652,58
61,6,28,3,0,1,4,0.0000,30.0000,3,21.9721,10.8734,1.5322,2.0207,1.7765,46,69.5652,58
62,6,17,3,3,2,0,15.0000,50.0000,1,23.4812,10.7058,1.3494,2.1933,1.7714,37,70.2703,18
63,6,17,3,3,2,0,0.0000,50.0000,1,23.4812,10.7058,1.3494,2.1933,1.7714,37,70.2703,18
64,6,17,3,3,2,0,20.0000,50.0000,1,23.4812,10.7058,1.3494,2.1933,1.7714,37,70.2703,18
65,6,28,3,2,2,0,15.0000,30.0000,2,24.6160,12.9767,1.5964,1.8969,1.7467,51,76.4706,31
66,6,28,3,0,2,0,15.0000,30.0000,2,24.6160,12.9767,1.5964,1.8969,1.7467,51,76.4706,31
67,14,20,9,3,2,3,15.0000,50.0000,5,10.2080,3.4118,0.4968,2.9920,1.7444,24,79.1667,15
68,6,28,3,2,2,0,15.0000,0.0000,1,34.2837,17.5953,1.5293,1.9485,1.7389,32,71.8750,35
69,6,28,3,0,2,0,15.0000,0.0000,1,34.2837,17.5953,1.5293,1.9485,1.7389,32,71.8750,35
70,6,28,3,0,1,4,20.0000,30.0000,3,21.3885,10.8734,1.5046,1.9670,1.7358,47,68.0851,56
71,6,28,3,2,1,4,20.0000,30.0000,3,21.3885,10.8734,1.5046,1.9670,1.7358,47,68.0851,56
72,12,24,9,3,2,3,15.0000,50.0000,5,10.0874,3.4118,0.4954,2.9567,1.7260,25,80.0000,15
73,6,28,3,2,1,0,15.0000,30.0000,2,24.0045,12.9767,1.6020,1.8498,1.7259,37,75.6757,53
74,6,28,3,0,1,0,15.0000,30.0000,2,24.0045,12.9767,1.6020,1.8498,1.7259,37,75.6757,53
75,14,28,3,3,2,0,15.0000,30.0000,5,10.3606,3.5461,0.5212,2.9217,1.7215,34,85.2941,21
76,12,28,3,3,2,3,15.0000,50.0000,5,10.8049,3.7421,0.5372,2.8874,1.7123,36,83.3333,20
77,6,28,3,0,1,3,0.0000,30.0000,2,25.8070,14.3924,1.6081,1.7931,1.7006,35,74.2857,60
78,6,28,3,2,1,3,0.0000,30.0000,2,25.8070,14.3924,1.6081,1.7931,1.7006,35,74.2857,60
79,8,15,3,3,2,0,0.0000,50.0000,1,22.3985,10.7058,1.3017,2.0922,1.6969,35,71.4286,18
80,8,15,3,3,2,0,20.0000,50.0000,1,22.3985,10.7058,1.3017,2.0922,1.6969,35,71.4286,18
81,8,15,3,3,2,0,15.0000,50.0000,1,22.3985,10.7058,1.3017,2.0922,1.6969,35,71.4286,18
82,6,28,3,0,2,0,0.0000,30.0000,2,23.7977,13.3890,1.6142,1.7774,1.6958,48,79.1667,34
83,6,28,3,2,2,0,0.0000,30.0000,2,23.7977,13.3890,1.6142,1.7774,1.6958,48,79.1667,34
84,6,28,3,0,0,3,0.0000,30.0000,2,24.5469,13.3890,1.5563,1.8334,1.6948,34,70.5882,62
85,6,28,3,2,0,3,0.0000,30.0000,2,24.5469,13.3890,1.5563,1.8334,1.6948,34,70.5882,62
86,8,17,3,3,2,0,0.0000,50.0000,1,22.0626,10.7058,1.3260,2.0608,1.6934,31,80.6452,18
87,8,17,3,3,2,0,20.0000,50.0000,1,22.0626,10.7058,1.3260,2.0608,1.6934,31,80.6452,18
88,8,17,3,3,2,0,15.0000,50.0000,1,22.0626,10.7058,1.3260,2.0608,1.6934,31,80.6452,18
89,12,28,9,3,2,3,15.0000,50.0000,5,10.0020,3.5129,0.4925,2.8472,1.6699,30,73.3333,20
90,6,28,3,2,0,4,0.0000,30.0000,2,24.1818,13.4123,1.5297,1.8030,1.6663,34,67.6471,60
91,6,28,3,0,0,4,0.0000,30.0000,2,24.1818,13.4123,1.5297,1.8030,1.6663,34,67.6471,60
92,14,20,9,3,2,3,15.0000,30.0000,5,9.7564,3.4118,0.4709,2.8597,1.6653,24,79.1667,14
93,6,28,3,2,2,0,0.0000,30.0000,3,20.0462,10.8463,1.4788,1.8482,1.6635,62,75.8065,36
94,6,28,3,0,2,0,0.0000,30.0000,3,20.0462,10.8463,1.4788,1.8482,1.6635,62,75.8065,36
95,6,17,3,3,2,0,0.0000,30.0000,1,21.5499,10.7058,1.2979,2.0129,1.6554,37,70.2703,18
96,6,17,3,3,2,0,20.0000,30.0000,1,21.5499,10.7058,1.2979,2.0129,1.6554,37,70.2703,18
97,6,17,3,3,2,0,15.0000,30.0000,1,21.5499,10.7058,1.2979,2.0129,1.6554,37,70.2703,18
98,6,28,3,2,2,0,20.0000,30.0000,3,19.8759,10.8463,1.4771,1.8325,1.6548,63,74.6032,35
99,6,28,3,0,2,0,20.0000,30.0000,3,19.8759,10.8463,1.4771,1.8325,1.6548,63,74.6032,35
100,6,28,3,0,1,3,20.0000,30.0000,2,25.0483,14.3924,1.5681,1.7404,1.6542,36,72.2222,57
